timestamp,timestamp_sample,information_event_changes,gps_checks_passed,reset_vel_to_gps,reset_vel_to_flow,reset_vel_to_vision,reset_vel_to_zero,reset_pos_to_last_known,reset_pos_to_gps,reset_pos_to_vision,starting_gps_fusion,starting_vision_pos_fusion,starting_vision_vel_fusion,starting_vision_yaw_fusion,yaw_aligned_to_imu_gps,reset_hgt_to_baro,reset_hgt_to_gps,reset_hgt_to_rng,reset_hgt_to_ev
1743177565053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177566053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177567053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177568053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177569053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177570053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177571053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177572053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177573053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177574053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177575053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177576053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177577053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177578053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177579053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177580053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177581053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177582053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177583053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177584053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177585053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177586053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177587053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177588053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177589053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177590053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177591053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177592053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177593053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177594053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177595053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177596053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
