timestamp,defer_failsafes_timeout_s,disable_auto_disarm,defer_failsafes,source_type,source_id
1743177584777379,0,0,0,0,0
1743177585281379,0,0,0,0,0
1743177585785379,0,0,0,0,0
1743177586289379,0,0,0,0,0
1743177586793379,0,0,0,0,0
1743177587297379,0,0,0,0,0
1743177587801379,0,0,0,0,0
1743177588305379,0,0,0,0,0
1743177588809379,0,0,0,0,0
1743177589313379,0,0,0,0,0
1743177589817379,0,0,0,0,0
1743177590321379,0,0,0,0,0
1743177590825379,0,0,0,0,0
1743177591329379,0,0,0,0,0
1743177591833379,0,0,0,0,0
1743177592337379,0,0,0,0,0
1743177592841379,0,0,0,0,0
1743177593345379,0,0,0,0,0
1743177593849379,0,0,0,0,0
1743177594353379,0,0,0,0,0
1743177594857379,0,0,0,0,0
1743177595361379,0,0,0,0,0
1743177595865379,0,0,0,0,0
1743177596369379,0,0,0,0,0
