timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping,accel_calibration_count,gyro_calibration_count
21817804000,-0.008788406,0.019441089,-0.0015978968,4000,0,0.046160318,-0.13718411,-9.790826,4000,0,20,0
21817808000,-0.007989484,0.023702133,-0.001597914,4000,0,0.046160318,-0.15035221,-9.854271,4000,0,20,0
21817812000,-0.0077231824,0.027164238,-0.003728437,4000,0,0.055737127,-0.1659145,-9.87582,4000,0,20,0
21817820000,-0.0063915583,0.020240033,0.001864208,4000,0,-0.016088923,-0.14795801,-9.770474,4000,0,20,0
21817828000,-0.004261076,0.018642124,-0.0021305308,4000,0,-0.0029208215,-0.11803049,-9.766882,4000,0,20,0
21817832000,-0.004793677,0.021571614,-0.0002663166,4000,0,0.03418931,-0.1467609,-9.75252,4000,0,20,0
21817840000,-0.003728453,0.015180012,-0.003994747,4000,0,0.052145828,-0.09169427,-9.715408,4000,0,20,0
21817844000,0.0010652512,0.01118527,-0.0055926587,4000,0,0.012641493,-0.042613138,-9.699844,4000,0,20,0
21817848000,0.0042610723,0.011717903,-0.002130541,4000,0,0.013838594,-0.060569644,-9.739349,4000,0,20,0
21817852000,0.007723177,0.014647382,-0.00026632522,4000,0,0.041371915,-0.10127107,-9.775262,4000,0,20,0
21817856000,0.010120009,0.014647389,-0.00079895987,4000,0,0.023415403,-0.1431696,-9.758503,4000,0,20,0
21817860000,0.0101200165,0.010652643,0.00026630287,4000,0,0.001867585,-0.1455638,-9.7537155,4000,0,20,0
21817864000,0.006924217,0.00852212,-0.000532628,4000,0,0.022218298,-0.11683338,-9.770474,4000,0,20,0
21817868000,0.007989475,0.009321073,-0.0039947433,4000,0,0.04256902,-0.15035221,-9.742943,4000,0,20,0
21817872000,0.015712645,0.008522111,-0.0055926647,4000,0,0.08925595,-0.17668843,-9.7225895,4000,0,20,0
21817876000,0.015712654,0.009587375,-0.0047936845,4000,0,0.100029856,-0.13957831,-9.738152,4000,0,20,0
21817880000,0.010386345,0.011451583,-0.0010652374,4000,0,0.060525533,-0.12281891,-9.740545,4000,0,20,0
21817884000,0.009054764,0.00878842,0.0026631576,4000,0,0.050948724,-0.11922759,-9.733365,4000,0,20,0
21817888000,0.011984217,0.0069242343,-0.0013315948,4000,0,0.035386417,-0.17429423,-9.703436,4000,0,20,0
21817892000,0.014381059,0.0061252904,-0.0063915965,4000,0,0.0162328,-0.23534638,-9.683085,4000,0,20,0
