timestamp,nav_state_timestamp,failsafe_timestamp,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,armed_time,takeoff_time,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,vehicle_type,is_vtol,is_vtol_tailsitter,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,data_link_lost,data_link_lost_counter,high_latency_data_link_lost,engine_failure,mission_failure,geofence_violated,failure_detector_status,latest_arming_reason,latest_disarming_reason
21794720000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21795224000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21795728000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21796232000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21796736000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21797240000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21797744000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21798248000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21798752000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21799256000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21799760000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21800264000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21800768000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21801272000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21801776000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21802280000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21802784000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21803288000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21803792000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21804296000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
