timestamp,device_id,min_distance,max_distance,current_distance,variance,h_fov,v_fov,q[0],q[1],q[2],q[3],signal_quality,type,orientation
21748180000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.3267949e-06,-0.0,-0.0,-1.0,-1,1,4
21748236000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.3267949e-06,-0.0,-0.0,-1.0,-1,1,4
21748284000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.3267949e-06,-0.0,-0.0,-1.0,-1,1,4
21748340000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.3267949e-06,-0.0,-0.0,-1.0,-1,1,4
21748392000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.3267949e-06,-0.0,-0.0,-1.0,-1,1,4
21748440000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.3267949e-06,-0.0,-0.0,-1.0,-1,1,4
21748496000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.3267949e-06,-0.0,-0.0,-1.0,-1,1,4
21748548000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.3267949e-06,-0.0,-0.0,-1.0,-1,1,4
21748600000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.3267949e-06,-0.0,-0.0,-1.0,-1,1,4
21748652000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.3267949e-06,-0.0,-0.0,-1.0,-1,1,4
21748704000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.3267949e-06,-0.0,-0.0,-1.0,-1,1,4
21748756000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.3267949e-06,-0.0,-0.0,-1.0,-1,1,4
21748808000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.3267949e-06,-0.0,-0.0,-1.0,-1,1,4
21748856000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.3267949e-06,-0.0,-0.0,-1.0,-1,1,4
21748912000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.3267949e-06,-0.0,-0.0,-1.0,-1,1,4
21748964000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.3267949e-06,-0.0,-0.0,-1.0,-1,1,4
21749016000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.3267949e-06,-0.0,-0.0,-1.0,-1,1,4
21749064000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.3267949e-06,-0.0,-0.0,-1.0,-1,1,4
21749120000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.3267949e-06,-0.0,-0.0,-1.0,-1,1,4
21749172000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.3267949e-06,-0.0,-0.0,-1.0,-1,1,4
