timestamp,timestamp_sample,time_last_fuse,device_id,observation[0],observation[1],observation[2],observation_variance[0],observation_variance[1],observation_variance[2],innovation[0],innovation[1],innovation[2],innovation_filtered[0],innovation_filtered[1],innovation_filtered[2],innovation_variance[0],innovation_variance[1],innovation_variance[2],test_ratio[0],test_ratio[1],test_ratio[2],test_ratio_filtered[0],test_ratio_filtered[1],test_ratio_filtered[2],estimator_instance,innovation_rejected,fused
1743177576197379,1743177576039379,1743177576045379,0,0.3292739,0.12707075,0.34222665,0.0025000002,0.0025000002,0.0025000002,0.0019346309,0.00038060546,-0.001704514,0.0009793619,0.0018132649,-0.0017645318,0.0025071243,0.0025078293,0.002503692,0.00016587383,6.3924167e-06,0.00012918287,8.119772e-05,0.00054876885,-0.00032870716,0,0,1
1743177576261379,1743177576107379,1743177576109379,0,0.3300571,0.13208672,0.34108618,0.0025000002,0.0025000002,0.0025000002,0.001046513,-0.0043653846,-0.00056403875,0.0009874011,0.0010735173,-0.0016211155,0.002507104,0.0025078151,0.0025036733,4.853716e-05,0.0008444821,1.4246481e-05,7.728765e-05,0.00038197121,-0.00029106045,0,0,1
1743177576333379,1743177576175379,1743177576181379,0,0.3321239,0.12621816,0.3415717,0.0025000002,0.0025000002,0.0025000002,-0.0010255517,0.0016549081,-0.0011008978,0.00074641383,0.0011431662,-0.0015586581,0.0025071013,0.0025078247,0.0025036763,4.661232e-05,0.00012139722,5.364144e-05,6.245456e-05,0.00035077575,-0.00026263704,0,0,1
1743177576397379,1743177576243379,1743177576245379,0,0.3262005,0.122216955,0.33588943,0.0025000002,0.0025000002,0.0025000002,0.0049176672,0.0058631003,0.0044902265,0.0012457892,0.0017079911,-0.000834772,0.002507094,0.002507829,0.0025036766,0.0010717787,0.0015220187,0.0008938591,0.00018328911,0.00049099495,-0.0001241833,0,0,1
1743177576469379,1743177576311379,1743177576317379,0,0.32961535,0.1257183,0.33986008,0.0025000002,0.0025000002,0.0025000002,0.0016590694,0.0022487193,0.00039100647,0.0012952664,0.0017726432,-0.00068810186,0.0025070782,0.0025078221,0.002503665,0.00012198846,0.0002239047,6.7623964e-06,0.0001759503,0.00045901936,-0.0001085067,0,0,1
1743177576533379,1743177576379379,1743177576381379,0,0.3264377,0.13336986,0.34117252,0.0025000002,0.0025000002,0.0025000002,0.004879457,-0.005525261,-0.0009160638,0.0017243596,0.0008987136,-0.000716166,0.0025070726,0.0025078282,0.002503665,0.001055197,0.0013535563,3.776873e-05,0.0002812122,0.00024202089,-0.00010003807,0,0,1
1743177576605379,1743177576447379,1743177576453379,0,0.32880044,0.12477316,0.34246078,0.0025000002,0.0025000002,0.0025000002,0.0024629084,0.003129065,-0.0021797419,0.0018127774,0.001165606,-0.0008914979,0.00250707,0.0025078356,0.0025036675,0.00026883607,0.00043351648,0.00021104421,0.00027973056,0.00026494643,-0.00011332754,0,0,1
1743177576669379,1743177576515379,1743177576517379,0,0.3236676,0.124724396,0.34510648,0.0025000002,0.0025000002,0.0025000002,0.0075258138,0.0032291338,-0.0047771335,0.0024967324,0.0014122773,-0.0013573412,0.0025070633,0.0025078373,0.002503667,0.002510147,0.00046110194,0.0010151248,0.00054675224,0.00028842984,-0.00022128917,0,0,1
1743177576741379,1743177576583379,1743177576589379,0,0.3327077,0.1266606,0.34134194,0.0025000002,0.0025000002,0.0025000002,-0.0014768302,0.0014640987,-0.0011337101,0.0020210242,0.0014185531,-0.0013303485,0.0025070477,0.0025078307,0.002503654,9.666205e-05,9.505068e-05,5.685624e-05,0.00046972377,0.00026527882,-0.00020160354,0,0,1
1743177576805379,1743177576651379,1743177576653379,0,0.33421743,0.12550756,0.34088477,0.0025000002,0.0025000002,0.0025000002,-0.0029949239,0.0028657615,-0.000762403,0.0014205235,0.0015919629,-0.0012619023,0.0025070414,0.002507837,0.0025036538,0.00039752782,0.00036418685,2.5540645e-05,0.0003658979,0.00027711992,-0.00018052559,0,0,1
