timestamp,voltage5v_v,voltage_payload_v,sensors3v3[0],sensors3v3[1],sensors3v3[2],sensors3v3[3],sensors3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc,comp_5v_valid,can1_gps1_5v_valid,payload_v_valid
1743177496793379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177497293379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177497793379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177498293379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177498793379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177499293379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177499793379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177500293379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177500793379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177501293379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177501793379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177502293379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177502793379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177503293379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177503793379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177504293379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177504793379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177505293379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177505793379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177506293379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177506793379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177507293379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177507793379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177508293379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177508793379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177509293379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177509793379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177510293379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177510793379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177511293379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177511793379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177512293379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177512793379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177513293379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177513793379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177514293379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177514793379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177515293379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177515793379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177516293379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177516793379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177517293379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177517793379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177518293379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177518793379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177519293379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177519793379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177520293379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177520793379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177521293379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177521793379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177522293379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177522793379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177523293379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177523793379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177524293379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177524793379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177525293379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177525793379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177526293379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177526793379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177527293379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177527793379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177528293379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177528793379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177529293379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177529793379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177530293379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177530793379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177531293379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177531793379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177532293379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177532793379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177533293379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177533793379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177534293379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177534793379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177535293379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177535793379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177536293379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177536793379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177537293379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177537793379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177538293379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177538793379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177539293379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177539793379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177540293379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177540793379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177541293379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177541793379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177542293379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177542793379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177543293379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177543793379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177544293379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1743177544793379,5.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
