timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
21737208000,21737208000,0.012967724,-0.010407928,-0.00092948315,0.44292426,0.0,0.0,0.0,-1.0
21737260000,21737260000,0.0029078068,-0.011345041,-0.00041460647,0.4429589,0.0,0.0,0.0,-1.0
21737312000,21737312000,0.0003073324,-0.011466091,0.0007130176,0.44255868,0.0,0.0,0.0,-1.0
21737360000,21737360000,0.0002689664,-0.013504661,0.0014252831,0.39967057,0.0,0.0,0.0,-1.0
21737412000,21737412000,0.009707689,-0.0065081646,-0.0012264762,0.41396552,0.0,0.0,0.0,-1.0
21737456000,21737456000,0.0007623217,-0.009916758,-0.0002545963,0.425142,0.0,0.0,0.0,-1.0
21737512000,21737512000,0.0017283789,-0.008264455,-5.183593e-05,0.43333253,0.0,0.0,0.0,-1.0
21737560000,21737560000,0.0038042616,-0.012462356,-0.00034292016,0.4390903,0.0,0.0,0.0,-1.0
21737612000,21737612000,0.00019041517,-0.011266677,0.001711518,0.44381273,0.0,0.0,0.0,-1.0
21737660000,21737660000,0.0010064774,-0.011425135,0.0012695241,0.44627383,0.0,0.0,0.0,-1.0
21737712000,21737712000,-0.00034149393,-0.011728102,0.00041394448,0.44854236,0.0,0.0,0.0,-1.0
21737760000,21737760000,-0.0019429282,-0.009961647,0.0005558124,0.45026955,0.0,0.0,0.0,-1.0
21737808000,21737808000,0.003204649,-0.0105882995,-0.00011964999,0.45200858,0.0,0.0,0.0,-1.0
21737856000,21737856000,0.0013285492,-0.009626669,-0.00057711016,0.45293072,0.0,0.0,0.0,-1.0
21737912000,21737912000,0.0004980162,-0.010194462,-0.00024422468,0.45386449,0.0,0.0,0.0,-1.0
21737960000,21737960000,0.0026077228,-0.008716249,-0.00063677895,0.45798323,0.0,0.0,0.0,-1.0
21738012000,21738012000,0.0024812175,-0.007561404,-0.00067512225,0.45758,0.0,0.0,0.0,-1.0
21738060000,21738060000,0.00039020163,-0.010233461,-0.0009926911,0.45811394,0.0,0.0,0.0,-1.0
21738112000,21738112000,0.0018589348,-0.008270223,-0.00070997654,0.46276772,0.0,0.0,0.0,-1.0
21738160000,21738160000,0.0047575287,-0.0060811546,-8.5888074e-05,0.46347922,0.0,0.0,0.0,-1.0
21738212000,21738212000,0.0014270642,-0.008055017,0.00012520299,0.461844,0.0,0.0,0.0,-1.0
21738260000,21738260000,0.0010511543,-0.00982774,-0.00072765857,0.46128017,0.0,0.0,0.0,-1.0
21738308000,21738308000,0.001450615,-0.0012110564,-0.00035732705,0.4670005,0.0,0.0,0.0,-1.0
21738356000,21738356000,0.0024535134,-0.00648212,0.00032485233,0.464955,0.0,0.0,0.0,-1.0
21738412000,21738412000,0.0055435714,-0.0043900893,0.00012962378,0.4629412,0.0,0.0,0.0,-1.0
21738460000,21738460000,0.0004918373,-0.0077746697,0.0006582682,0.46171218,0.0,0.0,0.0,-1.0
21738512000,21738512000,0.010279347,0.0018444797,-0.0010971825,0.4675769,0.0,0.0,0.0,-1.0
21738560000,21738560000,0.006512492,0.00046718077,-0.0003516259,0.46637318,0.0,0.0,0.0,-1.0
21738612000,21738612000,0.01590638,-0.0016486199,-0.0009931101,0.464119,0.0,0.0,0.0,-1.0
21738660000,21738660000,0.00696535,-0.0033686073,-0.0012379801,0.46240515,0.0,0.0,0.0,-1.0
21738712000,21738712000,0.012873133,0.008415605,-0.0004019014,0.46803916,0.0,0.0,0.0,-1.0
21738760000,21738760000,0.010367433,0.0067462116,-0.0018699133,0.46640304,0.0,0.0,0.0,-1.0
21738812000,21738812000,0.01622603,0.0027088819,-0.0011536703,0.46356344,0.0,0.0,0.0,-1.0
21738860000,21738860000,0.0003587604,-0.00016377305,3.33683e-05,0.4604243,0.0,0.0,0.0,-1.0
21738912000,21738912000,0.017669944,0.015506371,-0.00085124065,0.46720856,0.0,0.0,0.0,-1.0
21738960000,21738960000,0.04112238,0.013669608,-0.00089647714,0.46497527,0.0,0.0,0.0,-1.0
21739012000,21739012000,0.015604215,0.01177727,-8.5624415e-05,0.4614302,0.0,0.0,0.0,-1.0
21739060000,21739060000,0.014004881,0.011326928,0.00017783092,0.45897245,0.0,0.0,0.0,-1.0
21739112000,21739112000,0.009382979,0.005161325,0.0018511331,0.4564048,0.0,0.0,0.0,-1.0
21739160000,21739160000,0.025113529,0.02551596,-0.0018529145,0.4644384,0.0,0.0,0.0,-1.0
21739212000,21739212000,-0.07087282,0.11008435,-0.0017785683,0.51000005,0.0,0.0,0.0,-1.0
21739260000,21739260000,0.07536795,-0.036472786,0.010122649,0.51000005,0.0,0.0,0.0,-1.0
21739312000,21739312000,0.083869755,-0.012721479,-0.0056574484,0.51000005,0.0,0.0,0.0,-1.0
21739360000,21739360000,0.029112095,0.021413494,-0.011381578,0.51000005,0.0,0.0,0.0,-1.0
21739412000,21739412000,0.024626363,0.028206704,-0.0006290214,0.51000005,0.0,0.0,0.0,-1.0
21739460000,21739460000,0.020889781,0.031748153,0.005294098,0.51000005,0.0,0.0,0.0,-1.0
21739512000,21739512000,-0.016985942,0.039411526,0.0048220255,0.51000005,0.0,0.0,0.0,-1.0
21739560000,21739560000,0.018116891,0.042350847,0.0011580338,0.51000005,0.0,0.0,0.0,-1.0
21739612000,21739612000,0.0140256435,0.0474818,0.0012829694,0.51000005,0.0,0.0,0.0,-1.0
21739660000,21739660000,0.012175346,0.05028457,0.0006716711,0.51000005,0.0,0.0,0.0,-1.0
21739712000,21739712000,0.021450492,0.054408137,0.0021975182,0.51000005,0.0,0.0,0.0,-1.0
21739760000,21739760000,0.010902938,0.05656603,0.0011552002,0.51000005,0.0,0.0,0.0,-1.0
21739808000,21739808000,0.007900076,0.059880927,0.0010323724,0.51000005,0.0,0.0,0.0,-1.0
21739860000,21739860000,0.0086036725,0.06157529,0.0014292791,0.51000005,0.0,0.0,0.0,-1.0
21739912000,21739912000,0.0072375606,0.06410582,0.0015520235,0.51000005,0.0,0.0,0.0,-1.0
21739956000,21739956000,0.006476336,0.06556575,0.001801133,0.51000005,0.0,0.0,0.0,-1.0
21740012000,21740012000,0.008142678,0.067388624,0.00050558563,0.51000005,0.0,0.0,0.0,-1.0
