timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],reset_integral,fw_control_yaw_wheel
252265921,-0.3267248,0.021360546,-1.4918685,0.0,0.72581315,-0.112290815,0.118108064,-0.6683087,0.473246,0.0,0.0,0,0
252306625,-0.32896537,0.021724097,-1.5015863,0.0,0.7224506,-0.112402454,0.11953574,-0.67167103,0.4708047,0.0,0.0,0,0
252366606,-0.33067644,0.02208145,-1.5169101,0.0,0.7172064,-0.111975476,0.12110044,-0.67706066,0.46684703,0.0,0.0,0,0
252414949,-0.33021995,0.022170842,-1.5290467,0.0,0.71311474,-0.1110452,0.12165393,-0.68142253,0.46472353,0.0,0.0,0,0
252474685,-0.33079728,0.022260286,-1.5425829,0.0,0.7084594,-0.11039301,0.12263238,-0.68619233,0.46210358,0.0,0.0,0,0
252515713,-0.33074933,0.02231437,-1.5512307,0.0,0.70549136,-0.109826125,0.123111054,-0.6892488,0.45949417,0.0,0.0,0,0
252573986,-0.33074918,0.022340246,-1.5642645,0.0,0.7009859,-0.10901241,0.12383314,-0.69383013,0.45556766,0.0,0.0,0,0
252615253,-0.33162266,0.022208713,-1.5735143,0.0,0.69771504,-0.10878927,0.12459469,-0.69701856,0.45293173,0.0,0.0,0,0
252673622,-0.33039638,0.02198214,-1.5877635,0.0,0.69278497,-0.1075539,0.12485798,-0.70206237,0.44987053,0.0,0.0,0,0
252713375,-0.32951975,0.021661341,-1.5971384,0.0,0.68951565,-0.106778756,0.1249414,-0.70537657,0.44779348,0.0,0.0,0,0
252773047,-0.3273684,0.021225363,-1.6102543,0.0,0.6849646,-0.10537566,0.12472653,-0.71004415,0.4450811,0.0,0.0,0,0
252812785,-0.3275627,0.02124127,-1.6192752,0.0,0.68174577,-0.10487255,0.12527522,-0.71311337,0.44386616,0.0,0.0,0,0
252873576,-0.32583338,0.020889081,-1.6332995,0.0,0.6767987,-0.10353321,0.125268,-0.7180058,0.4418993,0.0,0.0,0,0
252912175,-0.3242317,0.020862907,-1.6420261,0.0,0.67374015,-0.102455586,0.12513238,-0.721054,0.44041762,0.0,0.0,0,0
252971728,-0.324956,0.021431498,-1.655271,0.0,0.6689453,-0.10166001,0.12626034,-0.72542113,0.43785554,0.0,0.0,0,0
253011663,-0.32349733,0.020684712,-1.6638787,0.0,0.66584873,-0.10090286,0.12591776,-0.72842896,0.43920586,0.0,0.0,0,0
253072395,-0.31982157,0.01913397,-1.6758046,0.0,0.6615896,-0.09950405,0.124659784,-0.732706,0.44082087,0.0,0.0,0,0
253111197,-0.31691948,0.018190473,-1.6815189,0.0,0.6595841,-0.09853798,0.12356738,-0.7348267,0.44006705,0.0,0.0,0,0
253170739,-0.3148776,0.017446958,-1.6886929,0.0,0.65700245,-0.09769817,0.122923866,-0.7373551,0.43694437,0.0,0.0,0,0
253211358,-0.316587,0.01716768,-1.6942171,0.0,0.6548642,-0.098021485,0.123733826,-0.73907703,0.43426955,0.0,0.0,0,0
253270020,-0.3208255,0.017211854,-1.7038171,0.0,0.6511036,-0.098790064,0.12578988,-0.7419445,0.43118244,0.0,0.0,0,0
253309804,-0.32437396,0.017055787,-1.7121663,0.0,0.6478162,-0.09947187,0.12747179,-0.7444397,0.4297797,0.0,0.0,0,0
253371378,-0.32717377,0.016437106,-1.7265866,0.0,0.6422566,-0.09968167,0.12903617,-0.74894565,0.43048352,0.0,0.0,0,0
253428990,-0.32750177,0.015692197,-1.7412946,0.0,0.6366708,-0.09911581,0.12965295,-0.75366867,0.43425876,0.0,0.0,0,0
253468829,-0.32696626,0.015017353,-1.7511452,0.0,0.6329369,-0.09856246,0.12972397,-0.75686723,0.43774346,0.0,0.0,0,0
