timestamp,timestamp_sample,time_utc_usec,device_id,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,heading_accuracy,rtcm_injection_rate,automatic_gain_control,fix_type,jamming_state,spoofing_state,vel_ned_valid,satellites_used,selected_rtcm_instance
210737928,0,1743472137624773,10813469,364552670,1274055843,83113,103129,0.16100001,0.010103012,0.772,1.0200001,0.55,0.74,85,13,19.800001,-4.5540004,19.269001,-0.96400005,1.802872,0,nan,0.0,0.0,0.0,0,3,1,1,1,23,0
211242990,0,1743472138124773,10813469,364552491,1274056913,83598,103615,0.16700001,0.009883275,0.771,1.021,0.53,0.77,90,10,19.710001,-4.039,19.292002,-0.44000003,1.7771912,0,nan,0.0,0.0,0.0,0,3,1,1,1,24,0
211737392,0,1743472138624773,10813469,364552333,1274057975,84205,104222,0.158,0.010186439,0.76900005,1.0220001,0.51,0.74,90,10,19.321001,-3.683,18.967001,-1.014,1.7625947,0,nan,0.0,0.0,0.0,0,3,1,1,1,27,0
212239363,0,1743472139124773,10813469,364552189,1274059027,84385,104403,0.147,0.010095508,0.767,1.0220001,0.53,0.74,90,6,19.137001,-3.131,18.879002,0.71300006,1.7351434,0,nan,0.0,0.0,0.0,0,3,1,1,1,24,0
212736169,0,1743472139624773,10813469,364552051,1274060071,83982,104000,0.14500001,0.009364215,0.76500005,1.021,0.53,0.74,90,6,18.943,-3.275,18.658,0.98300004,1.7445588,0,nan,0.0,0.0,0.0,0,3,1,1,1,26,0
213236975,0,1743472140124773,10813469,364551930,1274061120,83415,103432,0.12900001,0.010865023,0.762,1.018,0.51,0.74,90,7,19.082,-2.7410002,18.885,0.96500003,1.7149208,0,nan,0.0,0.0,0.0,0,3,1,1,1,25,0
213735808,0,1743472140624773,10813469,364551821,1274062177,82953,102971,0.117000006,0.009768259,0.75900006,1.0150001,0.51,0.74,90,7,19.215,-2.664,19.03,0.79600006,1.7098871,0,nan,0.0,0.0,0.0,0,3,1,1,1,27,0
214231555,0,1743472141124773,10813469,364551720,1274063254,82550,102568,0.112,0.008542689,0.75600004,1.011,0.53,0.76,68,14,19.695002,-2.512,19.534,0.80100006,1.6987,0,nan,0.0,0.0,0.0,0,3,1,1,1,27,0
214729860,0,1743472141624773,10813469,364551629,1274064354,82251,102270,0.105000004,0.008830493,0.753,1.006,0.53,0.76,68,14,20.007002,-2.26,19.879002,0.36400002,1.6840036,0,nan,0.0,0.0,0.0,0,3,1,1,1,26,0
215230814,0,1743472142124773,10813469,364551539,1274065475,81884,101903,0.108,0.010478606,0.75000006,1.001,0.57,0.77,59,5,20.271002,-2.0860002,20.163,0.49800003,1.6738646,0,nan,0.0,0.0,0.0,0,3,1,1,1,23,0
